# Variance report for acetime.acetz.acetz compared to Python 3.9
# zoneinfo.ZoneInfo.
#
# Context
# -------
# AceTimePython Version: 0.5.6
# AceTimePython ZoneDB Version: 2022g
# AceTimePython ZoneDB Start Year: 1900
# AceTimePython ZoneDB Until Year: 10000
# ZoneInfo Version: Python 3.9 2021e
# Report Start Year: 1950
# Report Until Year: 2100
#
# Report Format
# -------------
# Zone {zone_name}
# {seconds}: {date}: {label}: acetz {value}; zoneinfo {value}
# [...]

Zone Africa/Casablanca
3029709600: 2066-01-03 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3056925540: 2066-11-14 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3056925600: 2066-11-14 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3060554340: 2066-12-26 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3060554400: 2066-12-26 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3087770340: 2067-11-06 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3087770400: 2067-11-06 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3090794340: 2067-12-11 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3090794400: 2067-12-11 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3118010340: 2068-10-21 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3118010400: 2068-10-21 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3121639140: 2068-12-02 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3121639200: 2068-12-02 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3148855140: 2069-10-13 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3148855200: 2069-10-13 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3152483940: 2069-11-24 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3152484000: 2069-11-24 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3179699940: 2070-10-05 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3179700000: 2070-10-05 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3182723940: 2070-11-09 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3182724000: 2070-11-09 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3209939940: 2071-09-20 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3209940000: 2071-09-20 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3213568740: 2071-11-01 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3213568800: 2071-11-01 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3240784740: 2072-09-11 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3240784800: 2072-09-11 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3243808740: 2072-10-16 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3243808800: 2072-10-16 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3271024740: 2073-08-27 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3271024800: 2073-08-27 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
